timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1646985601,BTCUSDU22,Sell,1700,39978.00,PlusTick,b00abe37-997b-531f-a3f2-f7b4b55e6315,4.252338786332483e+06,1700,0.04252338786332483
1646985603,BTCUSDU22,Sell,321,39996.00,PlusTick,7a0eed98-ec35-5d1c-a75f-7b0b8c45b7bc,802580.2580258026,321,0.008025802580258026
1646985618,BTCUSDU22,Sell,21,40000.00,PlusTick,a647c232-22c4-55eb-9b36-cb7da563ddfa,52500,21,0.000525
1646985619,BTCUSDU22,Buy,21,40008.00,PlusTick,926d3ce5-3927-50cc-888b-dd4c18006305,52489.50209958009,21,0.0005248950209958009
1646985620,BTCUSDU22,Sell,7,40007.50,MinusTick,215fe8cf-5d9b-5bcb-9df9-78220fe20a83,17496.71936511904,7,0.0001749671936511904
1646985620,BTCUSDU22,Buy,1100,40008.00,PlusTick,6240a652-b9e6-5a9f-b668-f2ed7b00de72,2.7494501099780044e+06,1100,0.027494501099780043
1646985621,BTCUSDU22,Sell,23,39972.50,MinusTick,0f583e12-c022-55c7-ba67-2f1bc17a4cd5,57539.55844643192,23,0.0005753955844643192
1646985625,BTCUSDU22,Sell,17,39987.50,PlusTick,aa08904a-d8df-544f-aabd-1773b7273e45,42513.28540168803,17,0.00042513285401688027
1646985625,BTCUSDU22,Buy,28,39988.00,PlusTick,b5934ce7-7d32-5cb6-865e-b4d556c1d4cc,70021.00630189056,28,0.0007002100630189057
1646985626,BTCUSDU22,Sell,200,39974.00,MinusTick,a388b150-7ac0-5ef5-acd4-d2a32bd56419,500325.21138740185,200,0.005003252113874018
1646985628,BTCUSDU22,Buy,22,39972.00,MinusTick,4d9b518f-f004-577e-82bd-6081d76d546b,55038.52696887822,22,0.0005503852696887822
1646985629,BTCUSDU22,Buy,31,39972.00,ZeroMinusTick,2fc172a2-d0ec-5984-87de-11a8a1e1bad6,77554.28800160112,31,0.0007755428800160112
