,file,risk measure,OHR,copula
0,68.csv,Variance,0.89443359375,Gaussian
1,68.csv,ERM k=10,0.9065429687499998,Gaussian
2,68.csv,ES q=0.01,0.965625,Gaussian
3,68.csv,ES q=0.05,0.9322265624999999,Gaussian
4,68.csv,VaR q=0.01,0.9599609374999998,Gaussian
5,68.csv,VaR q=0.05,0.8878906249999998,Gaussian
6,6.csv,Variance,0.8687499999999999,Gaussian
7,6.csv,ERM k=10,0.8803710937499999,Gaussian
8,6.csv,ES q=0.01,1.11328125,Gaussian
9,6.csv,ES q=0.05,0.9429687499999999,Gaussian
10,6.csv,VaR q=0.01,0.9381835937499999,Gaussian
11,6.csv,VaR q=0.05,0.8064453124999997,Gaussian
12,54.csv,Variance,0.89443359375,Gaussian
13,54.csv,ERM k=10,0.91484375,Gaussian
14,54.csv,ES q=0.01,1.001953125,Gaussian
15,54.csv,ES q=0.05,0.9419921874999999,Gaussian
16,54.csv,VaR q=0.01,0.9323242187499999,Gaussian
17,54.csv,VaR q=0.05,0.8452148437499999,Gaussian
18,40.csv,Variance,0.8566406249999998,Gaussian
19,40.csv,ERM k=10,0.9001953125,Gaussian
20,40.csv,ES q=0.01,1.06787109375,Gaussian
21,40.csv,ES q=0.05,0.9449218749999999,Gaussian
22,40.csv,VaR q=0.01,0.95693359375,Gaussian
23,40.csv,VaR q=0.05,0.7968749999999998,Gaussian
24,41.csv,Variance,0.84111328125,Gaussian
25,41.csv,ERM k=10,0.88876953125,Gaussian
26,41.csv,ES q=0.01,1.0270507812499998,Gaussian
27,41.csv,ES q=0.05,0.9313476562499999,Gaussian
28,41.csv,VaR q=0.01,0.9374999999999999,Gaussian
29,41.csv,VaR q=0.05,0.8012695312499999,Gaussian
30,7.csv,Variance,0.8649414062499999,Gaussian
31,7.csv,ERM k=10,0.87099609375,Gaussian
32,7.csv,ES q=0.01,1.1067382812500002,Gaussian
33,7.csv,ES q=0.05,0.9374023437499999,Gaussian
34,7.csv,VaR q=0.01,0.9437499999999999,Gaussian
35,7.csv,VaR q=0.05,0.7938476562499999,Gaussian
36,55.csv,Variance,0.8926757812499999,Gaussian
37,55.csv,ERM k=10,0.9108398437499998,Gaussian
38,55.csv,ES q=0.01,0.9898437500000001,Gaussian
39,55.csv,ES q=0.05,0.9357421874999998,Gaussian
40,55.csv,VaR q=0.01,0.9267578124999998,Gaussian
41,55.csv,VaR q=0.05,0.8429687499999998,Gaussian
42,69.csv,Variance,0.8657226562499999,Gaussian
43,69.csv,ERM k=10,0.8822265624999999,Gaussian
44,69.csv,ES q=0.01,0.9326171875,Gaussian
45,69.csv,ES q=0.05,0.9015624999999999,Gaussian
46,69.csv,VaR q=0.01,0.9182617187500002,Gaussian
47,69.csv,VaR q=0.05,0.8678710937499997,Gaussian
48,80.csv,Variance,0.9669921875,Gaussian
49,80.csv,ERM k=10,0.9915039062500001,Gaussian
50,80.csv,ES q=0.01,1.0045898437500003,Gaussian
51,80.csv,ES q=0.05,1.00693359375,Gaussian
52,80.csv,VaR q=0.01,1.01376953125,Gaussian
53,80.csv,VaR q=0.05,0.99521484375,Gaussian
54,43.csv,Variance,0.8495117187499999,Gaussian
55,43.csv,ERM k=10,0.8788085937499998,Gaussian
56,43.csv,ES q=0.01,0.97626953125,Gaussian
57,43.csv,ES q=0.05,0.9121093749999999,Gaussian
58,43.csv,VaR q=0.01,0.91728515625,Gaussian
59,43.csv,VaR q=0.05,0.8142578124999997,Gaussian
60,57.csv,Variance,0.8931640624999999,Gaussian
61,57.csv,ERM k=10,0.9087890624999999,Gaussian
62,57.csv,ES q=0.01,0.9782226562499999,Gaussian
63,57.csv,ES q=0.05,0.9359374999999999,Gaussian
64,57.csv,VaR q=0.01,0.9119140625,Gaussian
65,57.csv,VaR q=0.05,0.8628906249999998,Gaussian
66,5.csv,Variance,0.871875,Gaussian
67,5.csv,ERM k=10,0.8853515624999999,Gaussian
68,5.csv,ES q=0.01,1.09384765625,Gaussian
69,5.csv,ES q=0.05,0.9499023437499999,Gaussian
70,5.csv,VaR q=0.01,0.9457031249999999,Gaussian
71,5.csv,VaR q=0.05,0.8214843749999999,Gaussian
72,56.csv,Variance,0.8737304687499998,Gaussian
73,56.csv,ERM k=10,0.9049804687499998,Gaussian
74,56.csv,ES q=0.01,0.96953125,Gaussian
75,56.csv,ES q=0.05,0.9307617187499999,Gaussian
76,56.csv,VaR q=0.01,0.9228515625,Gaussian
77,56.csv,VaR q=0.05,0.8499999999999999,Gaussian
