"Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
0.6173716623121227,0.5277051435005602,0.3654750343244657,0.3815060480419349,0.3829152472330968,0.39309749707943775
0.5747311951840919,0.5116909645004568,0.3240648131840843,0.3817657336854312,0.3622410333981114,0.35027923039687037
0.6173716623121227,0.5277051435005602,0.3654750343244657,0.3815060480419349,0.3829152472330968,0.39309749707943775
0.5747311951840919,0.5116909645004568,0.3240648131840843,0.3817657336854312,0.3622410333981114,0.35027923039687037
0.5574314778396323,0.5092441132373948,0.3328778284709909,0.37840392478427254,0.3590963352433789,0.32170887732342823
0.5515165899547518,0.4307539354295008,0.37020657641633714,0.32645531189027666,0.3497959395193815,0.3398275119230981
0.5516709022612913,0.4149546600191536,0.3490149251270982,0.3143500026347733,0.3412677059440733,0.3439872648103729
0.5567094510577698,0.41087426174020014,0.3508990845137918,0.3119009966825581,0.3417953470414157,0.3560962283236411
0.5455119916811217,0.41992911283058876,0.31347437454334137,0.3151897297118671,0.3291579286179517,0.35249508192932355
0.49810478198501484,0.3155885133174371,0.32106405762936696,0.16983609128951538,0.27063681156462605,0.33992697947035166
0.477136198675463,0.2833342886553616,0.40649142522177295,0.14671121777958784,0.2874544602485276,0.3005217003958953
0.49352357757075027,0.2937712534971596,0.4344846617640995,0.15560667986813093,0.30420211019443255,0.31355790423800567
0.49664052132595615,0.29724920437778246,0.44914033648127816,0.16382625355233238,0.31006663792598355,0.30204226182961125
0.5207782294375118,0.26907254352650234,0.45195796249969833,0.1717772670665273,0.29314551040171355,0.34707710555647653
0.4779059684639355,0.24328213176405356,0.4568171912110419,0.1358859049510066,0.28057971684076666,0.29804404226469094
0.5144546993802406,0.3353296993373015,0.43148712714391635,0.2131350205169601,0.30791074493383275,0.316272705411472
0.5114174936206074,0.33147837257401347,0.401364141806434,0.22122622797629066,0.2896678222423933,0.3041553101979271
