"Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2021-05-20",0.8705874738387944,0.37287056739415547,0.5502890400766739,0.6309001566973667,0.539384844661219,0.6055044892914467
"2021-05-13",0.6020985047653475,0.2699641957857648,0.30670912545171014,0.26694258242876967,0.2856284618550793,0.3798060705577524
"2021-05-06",0.27269003411034953,0.8632543588678703,0.866626003015859,0.8535590931661133,0.876335927548453,-0.34764346490044207
"2021-04-29",-0.7043327788760878,91.49881606418994,99.49075076879721,88.34943409195635,95.44784437189398,0.010274258755932908
"2021-04-22",0.5990222368776164,0.46311482013059957,0.5152702639806104,0.4575875456564752,0.48912541216414185,0.027848928495254666
"2021-04-15",0.6514682303817504,0.8009614628255758,0.8296854069416042,0.9307524536674815,0.8765537181086757,-0.6154764097670085
"2021-04-08",0.5051528811621911,0.8789685127399282,0.9095548918183708,1.0419886769094477,0.9611030992944685,0.45523121007166756
"2021-04-01",0.7102993199827774,0.6513153477425951,0.6137592884578644,0.8263602808512371,0.6996573201521694,0.031848937969667146
"2021-03-25",0.5428661726399868,1.1667945753065603,1.1359628211699895,1.5640074217533106,1.2407257066009878,0.5917565462559216
"2021-03-18",0.37305804108094553,0.23784850052552708,0.23257659418074472,0.26183980269532325,0.24384794617019911,-0.2299047863239414
"2021-03-11",0.34749883704228035,0.31954338153702466,0.2979609829062828,0.40249588210918985,0.3383810896566193,-0.08727844705557986
"2021-03-04",0.2770701972158318,-2.359696093968246,-2.5115181311959924,-2.8309967423534568,-2.5003516182965697,0.42921570612462545
"2021-02-25",0.8863946968640248,0.5798349687249171,0.5344803604475705,0.7189424494325811,0.607651715652018,0.6437569300004631
"2021-02-18",0.825933423371571,0.5512241158998586,0.5377812208722095,0.5567749527896362,0.5683230165674586,0.7235389184831169
"2021-02-10",-0.5563837730324166,-0.33664377025668135,-0.2931148165431907,-0.3989011501684656,-0.3477262765493381,-0.06368445728383487
"2021-02-03",-10.123328134470139,-4.054888481645564,-4.282272741877733,-5.6252488228491195,-4.602098976425151,0.0406006297903031
"2021-01-27",0.2822897871868202,-4.3943782810561265,-5.225373207996626,-5.281285172071087,-5.209120267028637,0.5269891220968483
"2021-01-20",0.5945147441462391,0.8302294799734525,0.8153311910982692,0.7509123235183821,0.8455607015310659,-0.03284076065235997
"2021-01-12",0.4178755936711954,0.6275385311962924,0.567226875032196,0.6290461955870921,0.5753363397849514,0.1612482374513573
"2021-01-05",0.617801989687661,0.32636464197780757,0.3308060769116835,0.32591186068792277,0.3277816702584585,0.0825604324381608
"2020-12-28",0.3107457921598429,-2.0462055269374644,-3.091250371764474,-1.8291170503857774,-2.3536409296885097,0.3235448161385751
