,HE,OHR,copula,file_name,risk_measure
0,0.520462447271992,0.92099609375,Gaussian,54.csv,ERM k=10
1,0.03238971580562122,0.8458984374999998,Gaussian,54.csv,ES q=0.01
2,0.41959096524767603,0.9142578124999998,Gaussian,54.csv,ES q=0.05
3,0.5229774218040544,0.9289062499999998,Gaussian,54.csv,VaR q=0.01
4,0.5925822773341569,0.95703125,Gaussian,54.csv,VaR q=0.05
5,0.7195599339426679,0.9077148437499999,Gaussian,54.csv,Variance
6,0.6335252590884934,0.8722656249999999,Gaussian,17.csv,ERM k=10
7,0.5082333801426524,0.92197265625,Gaussian,17.csv,ES q=0.01
8,0.6137624442834448,0.88876953125,Gaussian,17.csv,ES q=0.05
9,0.6091576458855912,0.8579101562499998,Gaussian,17.csv,VaR q=0.01
10,0.6874355464096218,0.8082031249999997,Gaussian,17.csv,VaR q=0.05
11,0.8799782310953858,0.8805664062499999,Gaussian,17.csv,Variance
12,0.699354396559707,0.8610351562499998,Gaussian,38.csv,ERM k=10
13,0.7725824070816626,0.8324218749999999,Gaussian,38.csv,ES q=0.01
14,0.7339230767065195,0.8533203125,Gaussian,38.csv,ES q=0.05
15,0.6928412059439384,0.836328125,Gaussian,38.csv,VaR q=0.01
16,0.7253514518823809,0.8860351562499998,Gaussian,38.csv,VaR q=0.05
17,0.9202647603717984,0.8645507812499998,Gaussian,38.csv,Variance
24,0.5657548442652436,0.8847656249999999,Gaussian,49.csv,ERM k=10
25,0.03212422633180467,0.8389648437499999,Gaussian,49.csv,ES q=0.01
26,0.42577605463587664,0.8816406249999998,Gaussian,49.csv,ES q=0.05
27,0.5136102779461567,0.8961914062499999,Gaussian,49.csv,VaR q=0.01
28,0.6700513673288863,0.9124999999999999,Gaussian,49.csv,VaR q=0.05
29,0.7475799851511211,0.8777343749999998,Gaussian,49.csv,Variance
30,0.7003087316492311,0.8491210937499999,Gaussian,36.csv,ERM k=10
31,0.7613435264530697,0.8203124999999999,Gaussian,36.csv,ES q=0.01
32,0.7320021742225022,0.83994140625,Gaussian,36.csv,ES q=0.05
33,0.697750228499074,0.8270507812499999,Gaussian,36.csv,VaR q=0.01
34,0.6883816905604789,0.883984375,Gaussian,36.csv,VaR q=0.05
35,0.9184293587388153,0.85283203125,Gaussian,36.csv,Variance
42,0.5329679137876633,0.9243164062499999,Gaussian,52.csv,ERM k=10
43,0.033212359245616274,0.8673828124999998,Gaussian,52.csv,ES q=0.01
44,0.402807822734527,0.921484375,Gaussian,52.csv,ES q=0.05
45,0.5238272102955274,0.93828125,Gaussian,52.csv,VaR q=0.01
46,0.591935059751268,0.9556640624999999,Gaussian,52.csv,VaR q=0.05
47,0.7355917163456629,0.9080078125,Gaussian,52.csv,Variance
48,0.5980005613847843,0.8857421875,Gaussian,15.csv,ERM k=10
49,0.4977904788094224,0.9354492187499999,Gaussian,15.csv,ES q=0.01
50,0.6015607238323957,0.90263671875,Gaussian,15.csv,ES q=0.05
51,0.5846969563857269,0.9455078124999998,Gaussian,15.csv,VaR q=0.01
52,0.6426914829111321,0.8218749999999999,Gaussian,15.csv,VaR q=0.05
53,0.8740376621431364,0.8842773437499999,Gaussian,15.csv,Variance
54,0.5938052808504983,0.8947265625,Gaussian,11.csv,ERM k=10
55,0.4999850015533619,0.9326171875,Gaussian,11.csv,ES q=0.01
56,0.571084493365428,0.9111328124999998,Gaussian,11.csv,ES q=0.05
57,0.5829517120958816,0.9517578124999999,Gaussian,11.csv,VaR q=0.01
58,0.6048792479139931,0.8485351562499999,Gaussian,11.csv,VaR q=0.05
59,0.8897830287578963,0.8958984374999999,Gaussian,11.csv,Variance
60,0.6979750171742041,0.8296874999999998,Gaussian,29.csv,ERM k=10
61,0.7634281575374054,0.8225585937499998,Gaussian,29.csv,ES q=0.01
62,0.7268334346333651,0.8296874999999998,Gaussian,29.csv,ES q=0.05
63,0.6979344735845887,0.8332031249999999,Gaussian,29.csv,VaR q=0.01
64,0.696988339482924,0.8382812499999999,Gaussian,29.csv,VaR q=0.05
65,0.9137993687320495,0.8555664062499998,Gaussian,29.csv,Variance
66,0.5787258460506111,0.9130859374999998,Gaussian,10.csv,ERM k=10
67,0.4878772898626603,0.9482421875,Gaussian,10.csv,ES q=0.01
68,0.5730647595734066,0.93046875,Gaussian,10.csv,ES q=0.05
69,0.5786704096973545,0.96708984375,Gaussian,10.csv,VaR q=0.01
70,0.6332032771508205,0.8624023437499998,Gaussian,10.csv,VaR q=0.05
71,0.8883467216432025,0.9059570312499999,Gaussian,10.csv,Variance
72,0.7149589546140986,0.8544921874999998,Gaussian,32.csv,ERM k=10
73,0.7805583868825996,0.8410156249999999,Gaussian,32.csv,ES q=0.01
74,0.7368755572636885,0.8496093749999999,Gaussian,32.csv,ES q=0.05
75,0.6982035298999436,0.8421874999999999,Gaussian,32.csv,VaR q=0.01
76,0.6909675267066204,0.8691406249999999,Gaussian,32.csv,VaR q=0.05
